,category,waterbody,species,IUCN,Area,counts,freqsum,wts,Rare,PIs
368,Small Lakes,Lake Nakuwa,Synodontis victoriae,LC,8,1,9,1,2,2
369,Small Lakes,Lake Naragaga,Astatoreochromis alluaudi,LC,1.98,1,22,1,1,1
370,Small Lakes,Lake Naragaga,Clarias gariepinus,LC,1.98,1,24,1,1,1
371,Small Lakes,Lake Naragaga,Haplochromis argenteus,CE,1.98,1,11,5,1,5
372,Small Lakes,Lake Naragaga,Haplochromis latifasciatus,CE,1.98,1,8,5,2,10
373,Small Lakes,Lake Naragaga,Haplochromis lividus,DD,1.98,1,12,3,1,3
374,Small Lakes,Lake Naragaga,Haplochromis parvidens,CE,1.98,1,10,5,2,10
375,Small Lakes,Lake Naragaga,Mormyrus kannume,LC,1.98,1,3,1,4,4
376,Small Lakes,Lake Naragaga,Mormyrus macrocephalus,LC,1.98,1,6,1,2,2
377,Small Lakes,Lake Naragaga,Oreochromis variabilis,CE,1.98,1,10,5,2,10
378,Small Lakes,Lake Naragaga,Pollimyrus nigricans,LC,1.98,1,5,1,3,3
379,Small Lakes,Lake Naragaga,Protopterus aethiopicus,LC,1.98,1,20,1,1,1
380,Small Lakes,Lake Naragaga,Synodontis afrofischeri,LC,1.98,1,12,1,1,1
381,Small Lakes,Lake Naragaga,Synodontis victoriae,LC,1.98,1,9,1,2,2
382,Small Lakes,Lake Nawampasa,Astatoreochromis alluaudi,LC,8,1,22,1,1,1
383,Small Lakes,Lake Nawampasa,Brycinus sadleri,LC,8,1,10,1,2,2
384,Small Lakes,Lake Nawampasa,Clarias alluaudi,LC,8,1,7,1,2,2
385,Small Lakes,Lake Nawampasa,Clarias gariepinus,LC,8,1,24,1,1,1
386,Small Lakes,Lake Nawampasa,Coptodon zillii,LC,8,1,16,1,1,1
387,Small Lakes,Lake Nawampasa,Enteromius trispilopleura,LC,8,1,3,1,4,4
388,Small Lakes,Lake Nawampasa,Haplochromis argenteus,CE,8,1,11,5,1,5
389,Small Lakes,Lake Nawampasa,Haplochromis barbarae,CE,8,1,1,5,5,25
390,Small Lakes,Lake Nawampasa,Haplochromis cryptodon,DD,8,1,6,3,2,6
391,Small Lakes,Lake Nawampasa,Haplochromis gowersii,DD,8,1,1,3,5,15
392,Small Lakes,Lake Nawampasa,Haplochromis latifasciatus,CE,8,1,8,5,2,10
393,Small Lakes,Lake Nawampasa,Haplochromis lividus,DD,8,1,12,3,1,3
394,Small Lakes,Lake Nawampasa,Haplochromis maxillaris,VU,8,1,6,3,2,6
395,Small Lakes,Lake Nawampasa,Haplochromis microdon,CE,8,1,1,5,5,25
396,Small Lakes,Lake Nawampasa,Haplochromis nubilus,VU,8,1,20,3,1,3
397,Small Lakes,Lake Nawampasa,Haplochromis obesus,CE,8,1,9,5,2,10
398,Small Lakes,Lake Nawampasa,Haplochromis orthostoma,VU,8,1,9,3,2,6
399,Small Lakes,Lake Nawampasa,Haplochromis parvidens,CE,8,1,10,5,2,10
400,Small Lakes,Lake Nawampasa,Haplochromis pellegrini,DD,8,1,8,3,2,6
401,Small Lakes,Lake Nawampasa,Haplochromis phytophagus,DD,8,1,9,3,2,6
402,Small Lakes,Lake Nawampasa,Haplochromis welcommei,VU,8,1,1,3,5,15
403,Small Lakes,Lake Nawampasa,Lates niloticus,LC,8,1,5,1,3,3
404,Small Lakes,Lake Nawampasa,Mastacembelus frenatus,LC,8,1,3,1,4,4
405,Small Lakes,Lake Nawampasa,Micropanchax loati,LC,8,1,1,1,5,5
406,Small Lakes,Lake Nawampasa,Oreochromis esculentus,CE,8,1,15,5,1,5
407,Small Lakes,Lake Nawampasa,Oreochromis leucostictus,LC,8,1,19,1,1,1
408,Small Lakes,Lake Nawampasa,Oreochromis niloticus,LC,8,1,22,1,1,1
409,Small Lakes,Lake Nawampasa,Oreochromis variabilis,CE,8,1,10,5,2,10
410,Small Lakes,Lake Nawampasa,Paralabidochromis sp,NE,8,1,8,3,2,6
411,Small Lakes,Lake Nawampasa,Prognathochromis sp,NE,8,1,6,3,2,6
412,Small Lakes,Lake Nawampasa,Protopterus aethiopicus,LC,8,1,20,1,1,1
413,Small Lakes,Lake Nawampasa,Pseudocrenilabrus multicolor,LC,8,1,12,1,1,1
414,Small Lakes,Lake Nawampasa,Synodontis afrofischeri,LC,8,1,12,1,1,1
415,Small Lakes,Lake Nawampasa,Synodontis victoriae,LC,8,1,9,1,2,2
416,Small Lakes,Lake Nawampasa,NA,,8,1,25,NA,1,NA
417,Small Lakes,Lake Nkuruba,Coptodon zillii,LC,0.02,1,16,1,1,1
418,Small Lakes,Lake Nkuruba,Oreochromis leucostictus,LC,0.02,1,19,1,1,1
419,Small Lakes,Lake Nkuruba,Poecilia reticulata,NE,0.02,1,2,3,4,12
420,Small Lakes,Lake Nyaguo,Astatoreochromis alluaudi,LC,33,1,22,1,1,1
421,Small Lakes,Lake Nyaguo,Brycinus sadleri,LC,33,1,10,1,2,2
422,Small Lakes,Lake Nyaguo,Clarias gariepinus,LC,33,1,24,1,1,1
423,Small Lakes,Lake Nyaguo,Coptodon zillii,LC,33,1,16,1,1,1
424,Small Lakes,Lake Nyaguo,Enteromius magdalenae,LC,33,1,2,1,4,4
425,Small Lakes,Lake Nyaguo,Enteromius neumayeri,LC,33,1,6,1,2,2
426,Small Lakes,Lake Nyaguo,Gnathonemus longibarbis,LC,33,1,6,1,2,2
427,Small Lakes,Lake Nyaguo,Haplochromis argenteus,CE,33,1,11,5,1,5
428,Small Lakes,Lake Nyaguo,Haplochromis cryptodon,DD,33,1,6,3,2,6
429,Small Lakes,Lake Nyaguo,Haplochromis latifasciatus,CE,33,1,8,5,2,10
430,Small Lakes,Lake Nyaguo,Haplochromis lividus,DD,33,1,12,3,1,3
431,Small Lakes,Lake Nyaguo,Haplochromis martini,CE,33,1,4,5,3,15
432,Small Lakes,Lake Nyaguo,Haplochromis maxillaris,VU,33,1,6,3,2,6
433,Small Lakes,Lake Nyaguo,Haplochromis nubilus,VU,33,1,20,3,1,3
434,Small Lakes,Lake Nyaguo,Haplochromis obesus,CE,33,1,9,5,2,10
435,Small Lakes,Lake Nyaguo,Haplochromis orthostoma,VU,33,1,9,3,2,6
436,Small Lakes,Lake Nyaguo,Haplochromis victoriae,DD,33,1,4,3,3,9
437,Small Lakes,Lake Nyaguo,Hippopotamyrus grahami,LC,33,1,5,1,3,3
438,Small Lakes,Lake Nyaguo,Marcusenius victoriae,LC,33,1,12,1,1,1
439,Small Lakes,Lake Nyaguo,Mormyrus kannume,LC,33,1,3,1,4,4
440,Small Lakes,Lake Nyaguo,Mormyrus macrocephalus,LC,33,1,6,1,2,2
441,Small Lakes,Lake Nyaguo,Oreochromis esculentus,CE,33,1,15,5,1,5
442,Small Lakes,Lake Nyaguo,Oreochromis leucostictus,LC,33,1,19,1,1,1
443,Small Lakes,Lake Nyaguo,Oreochromis niloticus,LC,33,1,22,1,1,1
444,Small Lakes,Lake Nyaguo,Prognathochromis sp,NE,33,1,6,3,2,6
445,Small Lakes,Lake Nyaguo,Protopterus aethiopicus,LC,33,1,20,1,1,1
446,Small Lakes,Lake Nyaguo,Synodontis afrofischeri,LC,33,1,12,1,1,1
447,Small Lakes,Lake Nyaguo,Synodontis victoriae,LC,33,1,9,1,2,2
448,Small Lakes,Lake Nyaguo,NA,,33,1,25,NA,1,NA
449,Small Lakes,Lake Nyamusigire,Clarias gariepinus,LC,4.4,1,24,1,1,1
450,Small Lakes,Lake Nyamusigire,Coptodon zillii,LC,4.4,1,16,1,1,1
451,Small Lakes,Lake Nyamusigire,Enteromius kerstenii,LC,4.4,1,13,1,1,1
452,Small Lakes,Lake Nyamusigire,Oreochromis niloticus,LC,4.4,1,22,1,1,1
453,Small Lakes,Lake Opeta,Astatoreochromis alluaudi,LC,42,1,22,1,1,1
454,Small Lakes,Lake Opeta,Brycinus sadleri,LC,42,1,10,1,2,2
455,Small Lakes,Lake Opeta,Clarias alluaudi,LC,42,1,7,1,2,2
456,Small Lakes,Lake Opeta,Clarias gariepinus,LC,42,1,24,1,1,1
457,Small Lakes,Lake Opeta,Coptodon zillii,LC,42,1,16,1,1,1
458,Small Lakes,Lake Opeta,Ctenopoma muriei,LC,42,1,7,1,2,2
459,Small Lakes,Lake Opeta,Enteromius cercops,LC,42,1,2,1,4,4
460,Small Lakes,Lake Opeta,Enteromius kerstenii,LC,42,1,13,1,1,1
461,Small Lakes,Lake Opeta,Enteromius neumayeri,LC,42,1,6,1,2,2
462,Small Lakes,Lake Opeta,Enteromius paludinosus,LC,42,1,3,1,4,4
463,Small Lakes,Lake Opeta,Enteromius radiatus,LC,42,1,3,1,4,4
464,Small Lakes,Lake Opeta,Enteromius yongei,LC,42,1,2,1,4,4
465,Small Lakes,Lake Opeta,Gnathonemus longibarbis,LC,42,1,6,1,2,2
466,Small Lakes,Lake Opeta,Haplochromis argenteus,CE,42,1,11,5,1,5
467,Small Lakes,Lake Opeta,Haplochromis cryptodon,DD,42,1,6,3,2,6
468,Small Lakes,Lake Opeta,Haplochromis latifasciatus,CE,42,1,8,5,2,10
469,Small Lakes,Lake Opeta,Haplochromis lividus,DD,42,1,12,3,1,3
470,Small Lakes,Lake Opeta,Haplochromis martini,CE,42,1,4,5,3,15
471,Small Lakes,Lake Opeta,Haplochromis maxillaris,VU,42,1,6,3,2,6
472,Small Lakes,Lake Opeta,Haplochromis michaeli,CE,42,1,2,5,4,20
473,Small Lakes,Lake Opeta,Haplochromis obesus,CE,42,1,9,5,2,10
474,Small Lakes,Lake Opeta,Haplochromis orthostoma,VU,42,1,9,3,2,6
475,Small Lakes,Lake Opeta,Haplochromis parvidens,CE,42,1,10,5,2,10
476,Small Lakes,Lake Opeta,Haplochromis pellegrini,DD,42,1,8,3,2,6
477,Small Lakes,Lake Opeta,Haplochromis phytophagus,DD,42,1,9,3,2,6
478,Small Lakes,Lake Opeta,Haplochromis squamulatus,DD,42,1,2,3,4,12
479,Small Lakes,Lake Opeta,Haplochromis victoriae,DD,42,1,4,3,3,9
480,Small Lakes,Lake Opeta,Hippopotamyrus grahami,LC,42,1,5,1,3,3
481,Small Lakes,Lake Opeta,Marcusenius victoriae,LC,42,1,12,1,1,1
482,Small Lakes,Lake Opeta,Mormyrus macrocephalus,LC,42,1,6,1,2,2
483,Small Lakes,Lake Opeta,Oreochromis esculentus,CE,42,1,15,5,1,5
484,Small Lakes,Lake Opeta,Oreochromis leucostictus,LC,42,1,19,1,1,1
485,Small Lakes,Lake Opeta,Oreochromis niloticus,LC,42,1,22,1,1,1
486,Small Lakes,Lake Opeta,Oreochromis variabilis,CE,42,1,10,5,2,10
487,Small Lakes,Lake Opeta,Petrocephalus catostoma,LC,42,1,9,1,2,2
488,Small Lakes,Lake Opeta,Pollimyrus nigricans,LC,42,1,5,1,3,3
489,Small Lakes,Lake Opeta,Protopterus aethiopicus,LC,42,1,20,1,1,1
490,Small Lakes,Lake Opeta,Pseudocrenilabrus multicolor,LC,42,1,12,1,1,1
491,Small Lakes,Lake Opeta,Synodontis afrofischeri,LC,42,1,12,1,1,1
492,Small Lakes,Lake Opeta,Synodontis victoriae,LC,42,1,9,1,2,2
493,Small Lakes,Lake Opeta,NA,,42,1,25,NA,1,NA
494,Small Lakes,Lake Owapet,Brycinus sadleri,LC,5.23,1,10,1,2,2
495,Small Lakes,Lake Owapet,Clarias gariepinus,LC,5.23,1,24,1,1,1
496,Small Lakes,Lake Owapet,Marcusenius victoriae,LC,5.23,1,12,1,1,1
497,Small Lakes,Lake Owapet,Oreochromis leucostictus,LC,5.23,1,19,1,1,1
498,Small Lakes,Lake Owapet,Oreochromis variabilis,CE,5.23,1,10,5,2,10
499,Small Lakes,Lake Owapet,Petrocephalus catostoma,LC,5.23,1,9,1,2,2
500,Small Lakes,Lake Owapet,NA,,5.23,1,25,NA,1,NA
501,Small Lakes,Lake Saka,Astatoreochromis alluaudi,LC,1.1,1,22,1,1,1
502,Small Lakes,Lake Wamala,Clarias gariepinus,LC,187,1,24,1,1,1
503,Small Lakes,Lake Wamala,Coptodon zillii,LC,187,1,16,1,1,1
504,Small Lakes,Lake Wamala,Ctenopoma muriei,LC,187,1,7,1,2,2
505,Small Lakes,Lake Wamala,Enteromius kerstenii,LC,187,1,13,1,1,1
506,Small Lakes,Lake Wamala,Enteromius neumayeri,LC,187,1,6,1,2,2
507,Small Lakes,Lake Wamala,Haplochromis nubilus,VU,187,1,20,3,1,3
508,Small Lakes,Lake Wamala,Oreochromis leucostictus,LC,187,1,19,1,1,1
509,Small Lakes,Lake Wamala,Oreochromis niloticus,LC,187,1,22,1,1,1
510,Small Lakes,Lake Wamala,Protopterus aethiopicus,LC,187,1,20,1,1,1
511,Small Lakes,Lake Wamala,Pseudocrenilabrus multicolor,LC,187,1,12,1,1,1
512,Small Lakes,Lake Wamala,NA,,187,1,25,NA,1,NA
